smiles
CCO
C
CO
NCCS
NCCN
CN
C=O
CCN
CSC
CBr
CI
CF
CC
CNC=O
CCCN
CCCO
O=CC#C
C=CC=O
CC#N
CCCl
NC#N
CC=O
SC#N
FCF
C#C
CCl
C=C
COC
CNC
CCNCC
CCC
N#N
CNO
CNN
C#N
CC(C)O
CNC=O
CCCCON
CCNC=O
CC(O)=O
CCCCO
CCCCN
COCOC
CCC#N
CCCCC
CCOCC
NC(N)=N
ClCCl
NCC=C
NC(N)=O
NCCO
OCCF
CC=C
OC=O
CC#C
CCCC
CCBr
CNNC
CC=O
OCCS
NC=O
ON=C
OCCO
CON
CCCCl
CS(C)=O
ON=C
Cn1ccnc1
CCCCCO
CCCCCC
ClCCCl
CCCC#C
OCC(O)CO
CN1CCCC1
CC(=O)NO
NCC(O)=O
CCCCCF
CCOC=O
CCCCCl
NCCCCN
NNC(N)=O
CCNCCN
CNCCO
N=C=N
NCCCO
C=C=C
CCC=C
CCSCC
CC#CC
NCCCN
OCCCl
OCC=C
NC(=O)NO
CCC=O
CSCCO
COC=O
ClCBr
C1CCSC1
COCCO
OCCCO
OCCBr
C1CN1
CCON
OC#N
NCCF
NCC=O
CCNC
CCCS
CSSC
CCNN
SC#N
NCCCC(O)=O
c1cnoc1
Nc1ccccc1
CCCCCCO
CC(C)=O
c1cscn1
CC(N)=O
CCCCC=O
C1CCNC1
CC(N)=S
CCC(C)O
CN(C)CCO
CC(C)N
CCOC=C
CCOCCO
ClCCBr
CCCCBr
COCC#C
OCCCCO
CNCCCN
C1CNCCN1
OCNC=O
NCCCON
CCCC=C
ClCCNCCCl
CC(F)F
CSCCCO
CCNNCC
CN=C=S
CN(C)C
C=CC#N
BrCCBr
OCC(S)CS
ClCC=C
OCCCBr
C1CC1
ClCC=O
C1CO1
C=CC=C
NCCCF
NCC#N
NCCCl
BrCBr
CCCBr
O=C=O
S=C=S
OCC#C
NCCBr
ClC=C
SCC=C
NNCCO
C1CS1
COCCl
CCCCS
OCCCS
NCC#C
BrC#N
CC=CCO
CC=CCO
CC(N)CS
N#CN1CCC1
Cc1ccccc1
NCc1ccccc1
c1c[nH]cn1
COC(C)=O
CCC(N)CC
CCC(O)=O
c1cncnc1
c1ncncn1
c1cnccn1
CCC(C)=O
C1CCCCC1
C1CCNCC1
c1ccnnc1
NCCNCCNCCN
OCc1ccccc1
CCCC(C)C
CC1CCCC1
C=CCCC=C
CC(C)CCN
CC(Cl)Cl
CCCCNC=O
CCCC(C)O
CCC(O)CC
CCNCCNCC
NCCSSCCN
CNCCCCNC
CN1CCNCC1
NCC(N)=O
FC(F)Cl
FC(F)=C
CC(N)CO
CSCCCCO
OCCNCCO
CSCCC#N
NC(O)=O
CCCCCCC
CC(C)NO
CCCCCCS
CCCCCBr
ClCCCBr
ClCCCCl
NCCC[P]
CNCCCNC
OCC=C=C
CC=NC#N
NC(N)=S
CC(C)CO
C1CCOC1
c1ccsc1
c1ccoc1
CC(O)CO
CCCCCNC
CCCNC=O
NCCNCCN
CC(O)CN
NCCCCCO
CSCCC=O
CCCCCCl
OCCSCCO
OCCCCCO
OC=CC=O
OC1CCC1
CC(C)Br
CCN(C)C
CNCC#C
NOCC=C
NCCCCCN
CNC(C)=O
COCCOC
OCCCCl
BrCC=C
IC(I)I
CCCC=O
C1COC1
CCON=O
O=CC=O
CN=C=O
CCCCNN
NCCC#N
CC(C)S
CSCSSC
OCCNCO
C1CNC1
CC(C)C
BrCC#N
CN1CC1
CC1CO1
CC1CN1
COCCCN
CCNCCO
ClCC#N
CNCC=C
ClC=CCl
N=[N]#N
FCC1CO1
O=S1CCCC1
CC1CO1
NC1CONC1=O
COC(=O)C=C
S=C1NCCN1
O=C1NCCN1
CC(C)(C)N
CCOC(C)=O
CCn1ccnc1
Oc1ccccc1
CCCC(O)=O
OC(=O)CCl
Cc1ccncc1
Cc1cccnc1
Cc1ccccn1
C1CCC=CC1
CC(C)(C)O
CCCCCCC=O
CCC(Cl)CC
CC(C)CC=O
O=CC1CCC1
O=C1CCCC1
CC1CCNCC1
CC1CCCCN1
Nc1ccccn1
OC1CCCNC1
CCCCCCCCO
Nc1cccnc1
NCC(F)CON
NCC(F)CNN
CCCCN=C=O
NCCCSCCCN
NCC(O)CON
